-7,0.143,0.95
-7,0.286,0.95
-5,0.143,0.95
-5,0.286,0.95
-5,0.286,0.95
-5,0.286,0.95
-3,0.429,0.95
-7,0.429,0.95
-7,0.143,0.95
-7,0.286,0.95
-5,0.143,0.95
-5,0.286,0.95
-5,0.286,0.95
-5,0.286,0.95
-7,0.429,0.95
-10,0.429,0.95
-7,0.143,0.95
-7,0.286,0.95
-5,0.143,0.95
-5,0.286,0.95
-5,0.286,0.95
-5,0.286,0.95
-3,0.429,0.95
-7,0.429,0.95
-7,0.143,0.95
-7,0.286,0.95
-5,0.143,0.95
-5,0.286,0.95
-3,0.286,0.95
0,0.286,0.95
-1,0.429,0.95
-5,0.429,0.95
-5,0.143,0.95
-1,0.429,0.95
-5,0.143,0.95
-3,0.286,0.95
-7,0.429,0.95
0,0.429,0.95
-1,0.429,0.95
-3,0.143,0.95
-3,0.429,0.95
-1,0.143,0.95
-1,0.286,0.95
-5,0.429,0.95
0,0.429,0.95
-1,0.429,0.95
-5,0.143,0.95
-1,0.286,0.95
-5,0.286,0.95
-5,0.143,0.95
-3,0.286,0.95
-7,0.286,0.95
-7,0.714,0.95
-10,0.143,0.95
-8,0.143,0.95
-7,0.429,0.95
-5,0.286,0.95
-10,0.286,0.95
-10,1.14,0.95
-5,0.143,0.95
-1,0.429,0.95
-5,0.143,0.95
-3,0.286,0.95
-7,0.429,0.95
0,0.429,0.95
-1,0.429,0.95
-3,0.143,0.95
-3,0.429,0.95
-1,0.143,0.95
-1,0.286,0.95
-5,0.429,0.95
0,0.429,0.95
-1,0.429,0.95
-5,0.143,0.95
-1,0.286,0.95
-5,0.286,0.95
-5,0.143,0.95
-3,0.286,0.95
-7,0.286,0.95
-7,0.714,0.95
-10,0.143,0.95
-8,0.143,0.95
-7,0.429,0.95
-5,0.286,0.95
-10,0.286,0.95
-10,1.14,0.95
2,0.143,0.95
4,0.143,0.95
5,0.429,0.95
4,0.286,0.95
2,0.143,0.95
0,0.286,0.95
0,0.286,0.95
-1,0.714,0.95
-1,0.143,0.95
-1,0.143,0.95
-1,0.286,0.95
-5,0.286,0.95
-5,0.143,0.95
-7,0.286,0.95
-5,0.286,0.95
-7,0.714,0.95
2,0.143,0.95
4,0.143,0.95
5,0.286,0.95
4,0.286,0.95
2,0.143,0.95
0,0.286,0.95
0,0.286,0.95
-1,0.714,0.95
-1,0.143,0.95
-1,0.143,0.95
-1,0.286,0.95
-5,0.286,0.95
-5,0.143,0.95
-7,0.286,0.95
7,0.286,0.95
-5,1,0.95
-1,0.286,0.95
0,0.286,0.95
-1,0.286,0.95
0,0.286,0.95
2,0.429,0.95
0,0.429,0.95
0,0.143,0.95
-1,0.429,0.95
-3,0.286,0.95
-5,0.286,0.95
-7,0.286,0.95
-3,0.429,0.95
-5,0.429,0.95
-1,0.143,0.95
-1,0.286,0.95
-1,0.143,0.95
0,0.286,0.95
-1,0.286,0.95
0,0.286,0.95
2,0.429,0.95
0,0.429,0.95
0,0.286,0.95
0,0.286,0.95
-2,0.286,0.95
2,0.286,0.95
2,0.286,0.95
0,0.286,0.95
-2,0.143,0.95
-5,0.429,0.95
-7,0.143,0.95
-7,0.286,0.95
-5,0.143,0.95
-5,0.286,0.95
-5,0.286,0.95
-5,0.286,0.95
-3,0.429,0.95
-7,0.429,0.95
-7,0.143,0.95
-7,0.286,0.95
-5,0.143,0.95
-5,0.286,0.95
-5,0.286,0.95
-5,0.286,0.95
-7,0.429,0.95
-10,0.429,0.95
-7,0.143,0.95
-7,0.286,0.95
-5,0.143,0.95
-5,0.286,0.95
-5,0.286,0.95
-5,0.286,0.95
-3,0.429,0.95
-7,0.429,0.95
-7,0.143,0.95
-7,0.286,0.95
-5,0.143,0.95
-5,0.286,0.95
-3,0.286,0.95
0,0.286,0.95
-1,0.429,0.95
-5,0.429,0.95
